startDate,startTime,endDate,endTime,sleepTime,sleepSeconds
2020-12-09,00:30,2020-12-09,03:00,2:30:00,9000
2020-12-10,21:30,2020-12-11,06:40,9:10:00,33000
2020-12-11,16:30,2020-12-11,20:00,3:30:00,12600
2020-12-12,02:00,2020-12-12,03:50,1:50:00,6600
2020-12-12,15:00,2020-12-12,18:15,3:15:00,11700
2020-12-13,01:00,2020-12-13,04:00,3:00:00,10800
2020-12-13,14:20,2020-12-13,19:10,4:50:00,17400
2020-12-14,02:20,2020-12-14,03:50,1:30:00,5400
2020-12-14,13:40,2020-12-14,19:10,5:30:00,19800
2020-12-14,23:00,2020-12-15,04:00,5:00:00,18000
2020-12-15,16:00,2020-12-15,18:40,2:40:00,9600
2020-12-16,02:00,2020-12-16,04:20,2:20:00,8400
2020-12-16,14:20,2020-12-16,17:20,3:00:00,10800
2020-12-16,23:50,2020-12-17,03:45,3:55:00,14100
2020-12-17,21:50,2020-12-18,04:10,6:20:00,22800
2020-12-18,05:00,2020-12-18,07:00,2:00:00,7200
2020-12-18,16:00,2020-12-18,19:30,3:30:00,12600
2020-12-19,01:20,2020-12-19,04:00,2:40:00,9600
2020-12-19,13:30,2020-12-19,17:20,3:50:00,13800
2020-12-20,01:00,2020-12-20,04:00,3:00:00,10800
2020-12-20,14:00,2020-12-20,18:20,4:20:00,15600
2020-12-21,00:30,2020-12-21,02:40,2:10:00,7800
2020-12-21,13:00,2020-12-21,19:00,6:00:00,21600
2020-12-22,01:10,2020-12-22,03:50,2:40:00,9600
2020-12-22,14:00,2020-12-22,17:40,3:40:00,13200
2020-12-23,01:00,2020-12-23,03:30,2:30:00,9000
2020-12-23,12:40,2020-12-23,17:40,5:00:00,18000
2020-12-24,01:20,2020-12-24,03:20,2:00:00,7200
2020-12-24,13:30,2020-12-24,17:30,4:00:00,14400
2020-12-25,02:00,2020-12-25,08:00,6:00:00,21600
2020-12-25,15:00,2020-12-25,17:00,2:00:00,7200
2020-12-26,01:00,2020-12-26,03:30,2:30:00,9000
2020-12-26,14:50,2020-12-26,19:10,4:20:00,15600
2020-12-27,01:00,2020-12-27,03:50,2:50:00,10200
2020-12-27,15:40,2020-12-27,20:30,4:50:00,17400
2020-12-28,01:50,2020-12-28,04:00,2:10:00,7800
2020-12-28,13:30,2020-12-28,20:00,6:30:00,23400
2020-12-29,01:50,2020-12-29,04:00,2:10:00,7800
2020-12-29,13:20,2020-12-29,17:20,4:00:00,14400
2020-12-30,01:50,2020-12-30,04:00,2:10:00,7800
2020-12-30,13:30,2020-12-30,17:00,3:30:00,12600
2020-12-31,02:40,2020-12-31,04:10,1:30:00,5400
2020-12-31,19:30,2021-01-01,01:00,5:30:00,19800
2021-01-01,03:40,2021-01-01,09:17,5:37:00,20220
2021-01-02,01:00,2021-01-02,03:40,2:40:00,9600
2021-01-02,16:00,2021-01-02,19:20,3:20:00,12000
2021-01-03,01:20,2021-01-03,04:00,2:40:00,9600
2021-01-03,15:10,2021-01-03,19:40,4:30:00,16200
2021-01-04,01:50,2021-01-04,04:00,2:10:00,7800
2021-01-04,14:30,2021-01-04,19:00,4:30:00,16200
2021-01-05,00:50,2021-01-05,05:00,4:10:00,15000
2021-01-05,15:00,2021-01-05,19:00,4:00:00,14400
2021-01-06,01:10,2021-01-06,03:40,2:30:00,9000
